count,signal,attention,meditation,delta,theta,lalpha,hapha,lbeta,hbeta,lgamma,hgamma
270,0,60,94,77.552001953125,5.96390008926392,4.51870012283325,3.06760001182556,1.77730000019073,1.65699994564056,0.956799983978271,1.2360999584198
271,0,56,90,276.530303955078,119.382698059082,60.2692985534668,14.3514003753662,22.6874008178711,19.3490009307861,13.5110998153687,13.5549001693726
272,0,48,78,201.842193603516,62.4043006896973,14.2019996643066,5.58610010147095,5.20419979095459,6.48960018157959,5.95020008087158,2.2985999584198
,,,,,,,,,,,
Minimum,,,,9.37049961090088,1.61179995536804,0.0520000010728836,0.408800005912781,0.150999993085861,0,0.09009999781847,1.2360999584198
Maximum,,,,354.520690917969,119.382698059082,60.2692985534668,14.3514003753662,22.6874008178711,19.3490009307861,13.5110998153687,104.022399902344
Mioyenne,,59.0048011595253,65.8163265306122,105.618657248361,29.997655238424,8.64820194639722,4.28012654915148,2.91550000893826,5.57978980577722,1.41136734141987,24.4101776711326
,,,,,,,,,,,
273,0,51,81,147.806900024414,15.0886001586914,9.48099994659424,5.44950008392334,4.06209993362427,3.5524001121521,2.98939990997314,1.62479996681213
274,0,57,80,105.071296691895,10.5472002029419,1.70319998264313,11.3385000228882,3.22760009765625,5.77419996261597,5.78889989852905,3.28909993171692
275,0,53,70,81.7276000976562,11.4259996414185,1.05710005760193,1.88950002193451,2.22979998588562,0.785099983215332,1.58019995689392,1.38300001621246
276,0,47,70,74.3557968139648,24.5214004516602,2.41989994049072,4.37949991226196,2.1282000541687,1.32889997959137,2.29360008239746,1.09350001811981
277,0,40,64,71.8056030273438,19.9188003540039,7.40509986877441,2.10229992866516,1.98889994621277,1.89820003509521,1.02550005912781,1.97580003738403
278,0,27,54,12.157600402832,12.9575004577637,3.81940007209778,0.266299992799759,1.66600000858307,1.12740004062653,1.57340002059937,1.11790001392365
279,0,38,66,104.50789642334,2.6068000793457,3.06599998474121,0.347299993038177,1.58800005912781,1.0929000377655,1.67340004444122,0.710600018501282
280,25,38,66,107.246597290039,8.62150001525879,0.406699985265732,0.550000011920929,0.997200012207031,1.09949994087219,0.24940000474453,0.190599992871284
281,25,38,66,43.3712997436523,2.68420004844666,0.243900001049042,0.190599992871284,0.175799995660782,0.371899992227554,0.135399997234344,0.147499993443489
282,25,38,66,22.6952991485596,5.96630001068115,0.724699974060059,1.02960002422333,0.631600022315979,0.360000014305115,0.401399999856949,0.192800000309944
283,0,54,80,202.361801147461,19.7096004486084,20.7157001495361,4.72970008850098,4.40059995651245,8.34109973907471,3.58680009841919,2.13520002365112
284,0,53,87,57.6314010620117,8.37600040435791,8.61400032043457,1.21800005435944,2.00880002975464,1.20379996299744,0.439300000667572,0.738499999046326
285,0,60,87,188.867202758789,16.8080005645752,2.478600025177,4.58080005645752,7.40409994125366,3.03379988670349,6.62760019302368,2.97839999198914
286,0,60,83,225.02799987793,24.3962001800537,7.87890005111694,10.3584003448486,9.37660026550293,8.36629962921143,2.78579998016357,2.33419990539551
287,0,44,83,43.0639991760254,23.2031002044678,27.6357002258301,7.05910015106201,12.5158004760742,2.42610001564026,2.06699991226196,4.32819986343384
288,0,48,69,108.066596984863,41.1521987915039,4.53739976882935,8.01580047607422,10.6150999069214,4.978600025177,2.32369995117188,2.46690011024475
289,0,43,75,99.5613021850586,9.57769966125488,3.00250005722046,2.01259994506836,2.33640003204346,1.10409998893738,0.754800021648407,0.777999997138977
290,25,43,75,299.322387695312,115.941299438477,20.7015991210938,18.2276992797852,18.44580078125,26.0757999420166,6.51949977874756,3.86319994926453
291,25,43,75,57.7602005004883,1.54929995536804,0.508899986743927,0.727400004863739,0.59170001745224,0.38960000872612,0.112099997699261,4.77E-02
292,25,43,75,108.557403564453,15.7732000350952,2.18840003013611,3.56340003013611,2.00909996032715,1.24049997329712,1.03810000419617,1.22640001773834
293,0,35,63,154.169296264648,9.76640033721924,1.16659998893738,0.772199988365173,1.478600025177,1.07620000839233,0.691299974918365,0.4307000041008
294,0,43,48,128.039505004883,10.8245000839233,1.63779997825623,1.08749997615814,0.739400029182434,1.2985999584198,1.61039996147156,0.694199979305267
295,0,48,51,54.8935012817383,6.94579982757568,1.43250000476837,1.81550002098083,2.65779995918274,1.62259995937347,0.951300024986267,0.811200022697449
296,0,53,48,163.753204345703,36.5154991149902,11.890700340271,5.71019983291626,10.0801000595093,6.25470018386841,4.15560007095337,2.32529997825623
297,0,47,37,53.823299407959,46.673698425293,2.0806999206543,0.350600004196167,1.23650002479553,1.94480001926422,0.633899986743927,0.26129999756813
298,0,56,44,99.8655014038086,3.35840010643005,1.44130003452301,1.67820000648499,1.93029999732971,1.56659996509552,0.575399994850159,0.482400000095367
299,0,61,37,70.9198989868164,7.45909976959229,0.183699995279312,1.31420004367828,2.16260004043579,1.130499958992,1.20229995250702,0.406800001859665
300,0,67,43,159.629104614258,81.747200012207,3.76909995079041,3.7778000831604,5.20919990539551,7.01579999923706,5.74910020828247,1.98979997634888
